EntryID,NameID,Timestamp,WhatGenreOfMusicMostAccuratelyDescribesThisArtistProject,ReleaseDate,StreamsLast28Days,ListenersLast28Days,SavesLast28Days,PlaylistAddsLast28Days,StreamsLast7Days,ListenersLast7Days,SavesLast7Days,PlaylistAddsLast7Days,StreamsAllTime,RadioStreamsLast28Days,DiscoverWeeklyStreamsLast28Days,ReleaseRadarStreamsLast28Days,RadioStreamsLast7Days,DiscoverWeeklyStreamsLast7Days,ReleaseRadarStreamsLast7Days,CurrentSpotifyFollowers,PopularityIndex,WhatIsTheDominantWayThisArtistHasPromotedThisSong,ReleaseConsistency,HowManySongsDoYouHaveInRadioRightNow,HowManySongsHasThisArtistEverReleased,AreYouIndependentOrSignedToALabel,IsThisSongOptedIntoSpotifyDiscoveryMode,ReleaseConsistencyNum,DaysSinceRelease,WeeksSinceRelease,NewRelease,PI_Category,PI_Category_2,ListenersStreamRatio28Days,ListenersStreamRatio7Days,AlgoStreams28Days,AlgoStreams7Days,NonAlgoStreams28Days,NonAlgoStreams7Days,ListenersStreamRatio28Days_adj,ListenersStreamRatio7Days_adj,SavesLast28Days_adj,PlaylistAddsLast28Days_adj,ReleasePhaseEarly
EID011,NID011,2025-03-21T20:00:19.637Z,Hip-Hop,2021-12-03T00:00:00Z,12721,5687,221.0,148.0,2633.0,1747,56.0,39.0,652783.0,3733.0,0.0,0.0,729.0,0.0,0.0,2654,20,Facebook / Meta Ads,Over 12 weeks,,61,Independent,,14.0,1204,173,no,20-21,16-20,2.23685598733955,1.50715512306812,3733.0,729.0,8988.0,1904.0,3.19237179312041,1.60508397639582,113.98,51.24,False
EID012,NID012,2025-03-21T20:04:12.280Z,Hip-Hop,2021-12-24T00:00:00Z,5004,3215,84.0,50.0,1399.0,1071,28.0,12.0,97202.0,3309.0,0.0,0.0,909.0,0.0,0.0,2654,22,No promotion,Over 12 weeks,,61,Independent,,14.0,1183,170,no,22-25,21-25,1.55645412130638,1.3062558356676,3309.0,909.0,1695.0,490.0,2.53130384836301,1.31802193254707,-10.87,-35.77,False
EID013,NID013,2025-03-21T20:07:19.132Z,Hip-Hop,2023-10-01T00:00:00Z,5152,2151,132.0,75.0,1156.0,708,49.0,20.0,126387.0,1447.0,0.0,0.0,341.0,0.0,0.0,2654,23,Facebook / Meta Ads,Over 12 weeks,,61,Independent,,14.0,537,77,no,22-25,21-25,2.3951650395165,1.63276836158192,1447.0,341.0,3705.0,815.0,3.56962869636108,1.82861580945806,90.52,37.49,False
EID014,NID014,2025-03-21T20:11:43.516Z,Hip-Hop,2025-02-07T00:00:00Z,5377,1404,389.0,111.0,1223.0,394,58.0,11.0,8106.0,517.0,0.0,79.0,99.0,0.0,0.0,1756,23,Facebook / Meta Ads,1-2 weeks,,200,Independent,,1.5,42,7,no,22-25,21-25,3.82977207977208,3.10406091370558,596.0,99.0,4781.0,1124.0,5.05637813211845,3.53630203291384,371.91,95.55,False
EID015,NID015,2025-03-21T20:16:18.065Z,Hip-Hop,2023-03-21T00:00:00Z,4157,2771,199.0,74.0,1103.0,878,70.0,18.0,113594.0,2497.0,0.0,0.0,680.0,0.0,0.0,1756,21,Facebook / Meta Ads,1-2 weeks,,200,Independent,,1.5,731,105,no,20-21,21-25,1.50018044027427,1.25626423690205,2497.0,680.0,1660.0,423.0,1.95241111010585,1.19180754226268,127.41,9.27,False
EID016,NID016,2025-03-21T20:19:39.931Z,EDM / Electronic,2023-08-11T00:00:00Z,40939,19359,100.0,371.0,10216.0,7063,26.0,114.0,648663.0,26249.0,244.0,0.0,6610.0,160.0,0.0,579,39,Facebook / Meta Ads,5-6 weeks,16.0,16,Independent,,5.5,588,85,no,36-40,31-40,2.11472700036159,1.44641087356647,26493.0,6770.0,14446.0,3446.0,1.0,1.85737385463742,-659.54,-315.73,False
EID017,NID017,2025-03-21T20:22:52.413Z,EDM / Electronic,2024-05-10T00:00:00Z,93106,37493,165.0,703.0,23313.0,14020,42.0,206.0,1229249.0,35264.0,8.0,0.0,9374.0,5.0,0.0,796,45,Facebook / Meta Ads,5-6 weeks,19.0,31,Independent,,5.5,315,46,no,41-45,41-100,2.48329021417331,1.66283880171184,35272.0,9379.0,57834.0,13934.0,5.58205941093928,2.04749632643834,-846.22,-211.29,False
EID018,NID018,2025-03-21T20:26:18.335999Z,EDM / Electronic,2023-05-05T00:00:00Z,19943,9959,491.0,451.0,6373.0,4036,221.0,208.0,330798.0,12567.0,25.0,0.0,3615.0,20.0,0.0,579,34,Social Media,5-6 weeks,16.0,16,Independent,,5.5,686,99,no,33-35,31-40,2.00251029219801,1.57903865213082,12592.0,3635.0,7351.0,2738.0,26.9419227516211,2.20833850353642,130.0,124.6,False
EID019,NID019,2025-03-21T20:27:11.625Z,Rock,2022-10-21T00:00:00Z,11508,5452,562.0,444.0,2512.0,1624,100.0,72.0,255919.0,1139.0,1815.0,0.0,277.0,185.0,0.0,7519,29,Facebook / Meta Ads,Over 12 weeks,10.0,10,Independent,,14.0,882,127,no,26-29,26-30,2.11078503301541,1.54679802955665,2954.0,462.0,8554.0,2050.0,2.69019740661893,1.61593499878729,477.31,367.43,False
EID020,NID020,2025-03-21T20:28:26.399Z,EDM / Electronic,2022-10-28T00:00:00Z,44119,20329,52.0,383.0,11223.0,7517,15.0,120.0,2760921.0,23450.0,59.0,0.0,6704.0,55.0,0.0,713,41,Facebook / Meta Ads,3-4 weeks,26.0,41,Independent,,3.5,875,126,no,41-45,41-100,2.17024939741256,1.49301583078356,23509.0,6759.0,20610.0,4464.0,9.17977181621954,1.92598984434635,-621.99,-226.38,False
